Gene.ID	p.value	ttest.z.score	Degrees.of.freedom	Direction	cell.type	updown	hgnc.symbol
5087	2.41315e-06	-4.84962	209	1	HSC	up	PBX1
5095	4.46118e-06	-4.71256	209	1	HSC	up	PCCA
51002	3.47931e-09	-6.17048	209	1	HSC	up	TPRKB
51011	2.14253e-09	-6.2607	209	1	HSC	up	FAHD2A
51015	9.55344e-07	-5.05116	209	1	HSC	up	ISOC1
51023	7.62571e-10	-6.45022	209	1	HSC	up	MRPS18C
51054	3.37839e-06	-4.77493	209	1	HSC	up	PLEKHA8P1
51074	3.77738e-08	-5.71346	209	1	HSC	up	APIP
51097	1.1304e-09	-6.37842	209	1	HSC	up	SCCPDH
51103	6.915e-07	-5.12011	209	1	HSC	up	NDUFAF1
51133	1.72751e-11	-7.11784	209	1	HSC	up	KCTD3
51134	1.36312e-07	-5.45708	209	1	HSC	up	CEP83
51144	3.59467e-06	-4.76106	209	1	HSC	up	HSD17B12
51147	2.51148e-09	-6.23123	209	1	HSC	up	ING4
51186	6.31665e-17	-9.12151	209	1	HSC	up	TCEAL9
51187	2.12858e-07	-5.36608	209	1	HSC	up	RSL24D1
51205	1.6003e-14	-8.26524	209	1	HSC	up	ACP6
51222	7.22686e-11	-6.87015	209	1	HSC	up	ZNF219
51227	7.87005e-10	-6.44448	209	1	HSC	up	PIGP
51232	1.32852e-08	-5.91659	209	1	HSC	up	CRIM1
51292	1.84062e-06	-4.90915	209	1	HSC	up	GMPR2
51309	4.84886e-13	-7.71611	209	1	HSC	up	ARMCX1
51347	3.89655e-09	-6.14929	209	1	HSC	up	TAOK3
5136	4.66198e-26	-12.1535	209	1	HSC	up	PDE1A
51474	6.73046e-07	-5.12585	209	1	HSC	up	LIMA1
51477	2.40761e-06	-4.85013	209	1	HSC	up	ISYNA1
51495	2.3778e-07	-5.34331	209	1	HSC	up	HACD3
51504	1.40739e-06	-4.96762	209	1	HSC	up	TRMT112
51506	4.20389e-07	-5.225	209	1	HSC	up	UFC1
51603	1.49741e-06	-4.95415	209	1	HSC	up	EEF1AKNMT
51614	5.13671e-09	-6.09737	209	1	HSC	up	ERGIC3
51626	1.8082e-10	-6.70861	209	1	HSC	up	DYNC2LI1
51650	3.58327e-08	-5.72383	209	1	HSC	up	MRPS33
517	3.99918e-08	-5.70223	209	1	HSC	up	ATP5MC2
51705	8.95584e-08	-5.54189	209	1	HSC	up	EMCN
51741	9.98882e-07	-5.0416	209	1	HSC	up	WWOX
51768	1.69694e-08	-5.86944	209	1	HSC	up	TM7SF3
51809	1.95188e-09	-6.27795	209	1	HSC	up	GALNT7
5193	2.00455e-08	-5.83719	209	1	HSC	up	PEX12
5198	1.94001e-06	-4.89763	209	1	HSC	up	PFAS
5217	1.24824e-06	-4.9936	209	1	HSC	up	PFN2
5245	1.79457e-07	-5.40106	209	1	HSC	up	PHB
5264	3.4772e-11	-6.9974	209	1	HSC	up	PHYH
5269	5.29124e-07	-5.17671	209	1	HSC	up	SERPINB6
5270	1.81118e-08	-5.85684	209	1	HSC	up	SERPINE2
5276	3.64262e-10	-6.58364	209	1	HSC	up	SERPINI2
5281	2.24561e-06	-4.86549	209	1	HSC	up	PIGF
5311	1.4477e-15	-8.64161	209	1	HSC	up	PKD2
5321	2.06354e-11	-7.08735	209	1	HSC	up	PLA2G4A
5324	7.81394e-11	-6.85648	209	1	HSC	up	PLAG1
5325	2.87883e-12	-7.42118	209	1	HSC	up	PLAGL1
5332	7.79405e-16	-8.73739	209	1	HSC	up	PLCB4
53335	4.99065e-06	-4.68723	209	1	HSC	up	BCL11A
5352	4.44977e-15	-8.46669	209	1	HSC	up	PLOD2
5357	1.28523e-11	-7.1684	209	1	HSC	up	PLS1
5358	7.95523e-21	-10.4473	209	1	HSC	up	PLS3
5371	2.33827e-08	-5.80729	209	1	HSC	up	PML
5379	1.60378e-12	-7.51873	209	1	HSC	up	PMS2P1
5380	2.45659e-09	-6.23533	209	1	HSC	up	PMS2P2
53826	1.18096e-26	-12.3448	209	1	HSC	up	FXYD6
5387	3.67783e-10	-6.58192	209	1	HSC	up	PMS2P3
540	6.77463e-07	-5.12446	209	1	HSC	up	ATP7B
54069	2.63769e-07	-5.32191	209	1	HSC	up	MIS18A
5425	3.70043e-08	-5.71751	209	1	HSC	up	POLD2
54360	8.04576e-17	-9.08482	209	1	HSC	up	CYTL1
54433	2.41324e-06	-4.84962	209	1	HSC	up	GAR1
5445	1.02613e-09	-6.39612	209	1	HSC	up	PON2
54477	7.11665e-10	-6.46277	209	1	HSC	up	PLEKHA5
54494	6.3896e-07	-5.13687	209	1	HSC	up	C11orf71
54512	1.95384e-06	-4.89607	209	1	HSC	up	EXOSC4
54554	1.99744e-09	-6.27368	209	1	HSC	up	WDR5B
54585	1.22642e-06	-4.99741	209	1	HSC	up	LZTFL1
54621	4.31679e-06	-4.71997	209	1	HSC	up	VSIG10
54682	1.91126e-11	-7.10051	209	1	HSC	up	MANSC1
5471	2.40037e-07	-5.34136	209	1	HSC	up	PPAT
54733	3.66375e-06	-4.7568	209	1	HSC	up	SLC35F2
54830	3.86867e-06	-4.7446	209	1	HSC	up	NUP62CL
54836	1.54692e-19	-10.0159	209	1	HSC	up	BSPRY
54840	4.9822e-06	-4.68761	209	1	HSC	up	APTX
54865	1.92099e-06	-4.89979	209	1	HSC	up	GPATCH4
54874	4.02298e-06	-4.73582	209	1	HSC	up	FNBP1L
54885	7.49665e-11	-6.86373	209	1	HSC	up	TBC1D8B
54914	1.59951e-09	-6.31469	209	1	HSC	up	FOCAD
54948	1.65668e-14	-8.25976	209	1	HSC	up	MRPL16
54969	4.14163e-07	-5.22812	209	1	HSC	up	HPF1
54974	5.15215e-08	-5.65218	209	1	HSC	up	THG1L
55005	2.86464e-06	-4.81165	209	1	HSC	up	RMND1
55076	5.77737e-08	-5.62946	209	1	HSC	up	TMEM45A
55101	7.51929e-07	-5.1023	209	1	HSC	up	DMAC2
55112	9.76453e-09	-5.97556	209	1	HSC	up	WDR60
55120	1.36512e-08	-5.91137	209	1	HSC	up	FANCL
55128	4.26015e-06	-4.72294	209	1	HSC	up	TRIM68
55133	3.24072e-06	-4.78421	209	1	HSC	up	SRBD1
