Gene.ID	p.value	ttest.z.score	Degrees.of.freedom	Direction	cell.type	updown
9737	2.73169e-40	-16.6841	209	1	TCELL	up
4306	4.63888e-40	-16.6104	209	1	TCELL	up
64400	5.62771e-40	-16.5835	209	1	TCELL	up
643641	9.58737e-40	-16.5094	209	1	TCELL	up
10225	1.75929e-39	-16.425	209	1	TCELL	up
321	2.08742e-39	-16.4012	209	1	TCELL	up
4494	2.17416e-39	-16.3956	209	1	TCELL	up
939	2.91933e-39	-16.3546	209	1	TCELL	up
8464	5.7098e-39	-16.2615	209	1	TCELL	up
113791	7.56642e-39	-16.2224	209	1	TCELL	up
4674	1.86102e-38	-16.0976	209	1	TCELL	up
80162	8.90589e-38	-15.8808	209	1	TCELL	up
8556	1.20494e-37	-15.8389	209	1	TCELL	up
7597	1.82502e-37	-15.7815	209	1	TCELL	up
57535	2.57854e-37	-15.7337	209	1	TCELL	up
9814	3.37037e-37	-15.6967	209	1	TCELL	up
3097	5.32135e-37	-15.6335	209	1	TCELL	up
22990	9.70766e-37	-15.5505	209	1	TCELL	up
55008	1.05024e-36	-15.5396	209	1	TCELL	up
664	2.13935e-36	-15.4413	209	1	TCELL	up
50852	2.63201e-36	-15.4127	209	1	TCELL	up
23178	3.50344e-36	-15.3732	209	1	TCELL	up
55268	4.24712e-36	-15.3467	209	1	TCELL	up
3738	4.32165e-36	-15.3443	209	1	TCELL	up
57134	6.76e-36	-15.2825	209	1	TCELL	up
2625	1.0624e-35	-15.2202	209	1	TCELL	up
3985	1.16134e-35	-15.2079	209	1	TCELL	up
3337	1.68985e-35	-15.1561	209	1	TCELL	up
11320	9.40601e-35	-14.9195	209	1	TCELL	up
9744	2.92604e-34	-14.7631	209	1	TCELL	up
10207	3.20583e-34	-14.7506	209	1	TCELL	up
399665	1.08899e-33	-14.5821	209	1	TCELL	up
387751	1.21374e-33	-14.5672	209	1	TCELL	up
55450	2.78877e-33	-14.4526	209	1	TCELL	up
54463	2.79223e-33	-14.4525	209	1	TCELL	up
8631	3.00672e-33	-14.4423	209	1	TCELL	up
23224	7.06611e-33	-14.3246	209	1	TCELL	up
54462	8.86845e-33	-14.2933	209	1	TCELL	up
26207	1.76292e-32	-14.1987	209	1	TCELL	up
8445	3.0856e-32	-14.1217	209	1	TCELL	up
5588	6.12504e-32	-14.0272	209	1	TCELL	up
79652	9.94432e-32	-13.9605	209	1	TCELL	up
56950	1.06724e-31	-13.9508	209	1	TCELL	up
923	1.15579e-31	-13.9398	209	1	TCELL	up
401428	1.45771e-31	-13.9078	209	1	TCELL	up
1107	2.67999e-31	-13.8239	209	1	TCELL	up
6775	2.9562e-31	-13.8104	209	1	TCELL	up
28566	3.79462e-31	-13.776	209	1	TCELL	up
7535	3.82806e-31	-13.7748	209	1	TCELL	up
54981	4.97731e-31	-13.7386	209	1	TCELL	up
6314	5.33545e-31	-13.7291	209	1	TCELL	up
23336	5.45681e-31	-13.726	209	1	TCELL	up
9397	5.68115e-31	-13.7204	209	1	TCELL	up
3800	6.47276e-31	-13.7024	209	1	TCELL	up
6843	9.88886e-31	-13.644	209	1	TCELL	up
55139	9.91533e-31	-13.6436	209	1	TCELL	up
5583	1.00862e-30	-13.6413	209	1	TCELL	up
80342	1.01877e-30	-13.6399	209	1	TCELL	up
89845	1.14127e-30	-13.6243	209	1	TCELL	up
57449	4.85776e-30	-13.4245	209	1	TCELL	up
5920	5.10977e-30	-13.4175	209	1	TCELL	up
921	6.98628e-30	-13.3744	209	1	TCELL	up
11083	8.65482e-30	-13.3448	209	1	TCELL	up
11123	1.01036e-29	-13.3234	209	1	TCELL	up
8821	1.27179e-29	-13.2917	209	1	TCELL	up
79961	1.76858e-29	-13.2461	209	1	TCELL	up
7378	2.64762e-29	-13.1904	209	1	TCELL	up
2734	3.79558e-29	-13.1406	209	1	TCELL	up
5727	5.88566e-29	-13.08	209	1	TCELL	up
23368	7.21589e-29	-13.0518	209	1	TCELL	up
23102	8.55761e-29	-13.0282	209	1	TCELL	up
11278	1.02886e-28	-13.0028	209	1	TCELL	up
994	1.93088e-28	-12.9157	209	1	TCELL	up
64781	2.43923e-28	-12.8833	209	1	TCELL	up
57602	3.48951e-28	-12.8337	209	1	TCELL	up
79710	4.82699e-28	-12.7888	209	1	TCELL	up
11059	6.21722e-28	-12.7537	209	1	TCELL	up
80833	6.50996e-28	-12.7473	209	1	TCELL	up
2053	1.24894e-27	-12.657	209	1	TCELL	up
9138	1.3477e-27	-12.6464	209	1	TCELL	up
23461	1.6068e-27	-12.622	209	1	TCELL	up
9830	1.71587e-27	-12.6129	209	1	TCELL	up
8911	1.79603e-27	-12.6066	209	1	TCELL	up
23345	2.88775e-27	-12.5406	209	1	TCELL	up
347902	6.09817e-27	-12.4368	209	1	TCELL	up
1540	6.31231e-27	-12.432	209	1	TCELL	up
2534	6.37924e-27	-12.4305	209	1	TCELL	up
26152	7.42186e-27	-12.4095	209	1	TCELL	up
472	7.79634e-27	-12.4026	209	1	TCELL	up
729030	1.02957e-26	-12.3639	209	1	TCELL	up
26034	1.05181e-26	-12.361	209	1	TCELL	up
221061	1.3031e-26	-12.3311	209	1	TCELL	up
360	2.08438e-26	-12.2657	209	1	TCELL	up
1795	2.68094e-26	-12.2307	209	1	TCELL	up
55818	2.8628e-26	-12.2215	209	1	TCELL	up
8717	3.03108e-26	-12.2135	209	1	TCELL	up
92106	3.43459e-26	-12.1961	209	1	TCELL	up
22982	3.969e-26	-12.176	209	1	TCELL	up
10500	4.06784e-26	-12.1725	209	1	TCELL	up
54861	4.08869e-26	-12.1718	209	1	TCELL	up
3268	4.28782e-26	-12.1652	209	1	TCELL	up
155066	4.48117e-26	-12.159	209	1	TCELL	up
51176	6.0421e-26	-12.1173	209	1	TCELL	up
6304	1.27328e-25	-12.0132	209	1	TCELL	up
9372	1.36926e-25	-12.003	209	1	TCELL	up
2633	1.54388e-25	-11.9863	209	1	TCELL	up
406	1.63032e-25	-11.9786	209	1	TCELL	up
55188	1.98288e-25	-11.9513	209	1	TCELL	up
22861	2.45405e-25	-11.9214	209	1	TCELL	up
55423	4.71296e-25	-11.83	209	1	TCELL	up
64699	5.04924e-25	-11.8204	209	1	TCELL	up
23059	5.75953e-25	-11.8019	209	1	TCELL	up
387535	7.25398e-25	-11.7696	209	1	TCELL	up
2533	7.65043e-25	-11.7621	209	1	TCELL	up
2113	7.91699e-25	-11.7573	209	1	TCELL	up
55337	1.1848e-24	-11.7007	209	1	TCELL	up
79634	1.44399e-24	-11.6729	209	1	TCELL	up
8519	1.45815e-24	-11.6715	209	1	TCELL	up
919	1.99183e-24	-11.6277	209	1	TCELL	up
4068	2.24893e-24	-11.6106	209	1	TCELL	up
63926	2.39578e-24	-11.6017	209	1	TCELL	up
9531	2.5686e-24	-11.5919	209	1	TCELL	up
5295	4.19966e-24	-11.5227	209	1	TCELL	up
116828	4.76623e-24	-11.5049	209	1	TCELL	up
5934	5.72765e-24	-11.479	209	1	TCELL	up
56990	5.85173e-24	-11.4759	209	1	TCELL	up
3695	5.92038e-24	-11.4743	209	1	TCELL	up
6504	7.1228e-24	-11.4482	209	1	TCELL	up
10125	7.48108e-24	-11.4413	209	1	TCELL	up
23214	8.6558e-24	-11.4207	209	1	TCELL	up
25956	1.00129e-23	-11.4002	209	1	TCELL	up
115817	1.37876e-23	-11.355	209	1	TCELL	up
57062	1.53818e-23	-11.3395	209	1	TCELL	up
57509	1.59483e-23	-11.3344	209	1	TCELL	up
53405	1.64586e-23	-11.3299	209	1	TCELL	up
6772	2.18622e-23	-11.2898	209	1	TCELL	up
80169	2.42221e-23	-11.2753	209	1	TCELL	up
55086	2.42927e-23	-11.2749	209	1	TCELL	up
23484	2.44052e-23	-11.2742	209	1	TCELL	up
55340	2.53077e-23	-11.2691	209	1	TCELL	up
57048	3.45176e-23	-11.2251	209	1	TCELL	up
8871	3.94267e-23	-11.2063	209	1	TCELL	up
27240	4.39673e-23	-11.1908	209	1	TCELL	up
1120	4.54457e-23	-11.1861	209	1	TCELL	up
23526	5.32971e-23	-11.1635	209	1	TCELL	up
6638	5.55934e-23	-11.1575	209	1	TCELL	up
476	5.78674e-23	-11.1518	209	1	TCELL	up
3710	6.07027e-23	-11.145	209	1	TCELL	up
26018	6.12938e-23	-11.1437	209	1	TCELL	up
23253	7.51024e-23	-11.1148	209	1	TCELL	up
23275	8.07951e-23	-11.1044	209	1	TCELL	up
657	8.27314e-23	-11.1011	209	1	TCELL	up
94431	8.50434e-23	-11.0972	209	1	TCELL	up
149628	8.95228e-23	-11.0899	209	1	TCELL	up
4646	1.09282e-22	-11.0615	209	1	TCELL	up
4063	1.19617e-22	-11.0487	209	1	TCELL	up
