Gene.ID	p.value	ttest.z.score	Degrees.of.freedom	Direction	cell.type	updown	hgnc.symbol
9917	7.63408e-52	-20.4742	209	1	l-ERY	up	FAM20B
51319	9.94063e-52	-20.4355	209	1	l-ERY	up	RSRC1
26502	3.15646e-51	-20.2667	209	1	l-ERY	up	NARF
52	7.32774e-51	-20.1439	209	1	l-ERY	up	ACP1
2766	1.25768e-50	-20.0652	209	1	l-ERY	up	GMPR
10422	2.00901e-50	-19.9971	209	1	l-ERY	up	UBAC1
645	2.05776e-50	-19.9936	209	1	l-ERY	up	BLVRB
51343	2.09507e-50	-19.991	209	1	l-ERY	up	FZR1
6563	2.26391e-50	-19.9797	209	1	l-ERY	up	SLC14A1
4860	2.5281e-50	-19.9637	209	1	l-ERY	up	PNP
2038	3.09607e-50	-19.9343	209	1	l-ERY	up	EPB42
11345	3.36733e-50	-19.9221	209	1	l-ERY	up	GABARAPL2
219333	3.84274e-50	-19.9029	209	1	l-ERY	up	USP12
8780	4.75413e-50	-19.872	209	1	l-ERY	up	RIOK3
55108	6.37853e-50	-19.8294	209	1	l-ERY	up	BSDC1
63899	8.91097e-50	-19.781	209	1	l-ERY	up	NSUN3
10826	1.15996e-49	-19.7428	209	1	l-ERY	up	FAXDC2
10158	1.56492e-49	-19.6995	209	1	l-ERY	up	PDZK1IP1
27102	2.27132e-49	-19.6456	209	1	l-ERY	up	EIF2AK1
51382	1.37238e-48	-19.3862	209	1	l-ERY	up	ATP6V1D
5649	2.62584e-48	-19.2928	209	1	l-ERY	up	RELN
119	6.2241e-48	-19.1688	209	1	l-ERY	up	ADD2
22996	9.81937e-48	-19.1035	209	1	l-ERY	up	TTC39A
9491	1.18043e-47	-19.0771	209	1	l-ERY	up	PSMF1
23558	1.29402e-47	-19.0639	209	1	l-ERY	up	WBP2
81577	1.49203e-47	-19.0435	209	1	l-ERY	up	GFOD2
81689	3.96869e-47	-18.9035	209	1	l-ERY	up	ISCA1
51454	5.40536e-47	-18.8594	209	1	l-ERY	up	GULP1
387522	5.55607e-47	-18.8554	209	1	l-ERY	up	TMEM189-UBE2V1
2623	6.76482e-47	-18.8273	209	1	l-ERY	up	GATA1
7027	9.74546e-47	-18.7752	209	1	l-ERY	up	TFDP1
9645	1.31394e-46	-18.7326	209	1	l-ERY	up	MICAL2
10614	2.14164e-46	-18.6629	209	1	l-ERY	up	HEXIM1
26130	2.18152e-46	-18.6603	209	1	l-ERY	up	GAPVD1
6483	2.18785e-46	-18.6599	209	1	l-ERY	up	ST3GAL2
761	2.3613e-46	-18.649	209	1	l-ERY	up	CA3
7150	5.11319e-46	-18.5391	209	1	l-ERY	up	TOP1
7567	9.24177e-46	-18.4549	209	1	l-ERY	up	ZNF19
11163	1.35612e-45	-18.4004	209	1	l-ERY	up	NUDT4
7855	1.93942e-45	-18.3497	209	1	l-ERY	up	FZD5
6478	2.10599e-45	-18.338	209	1	l-ERY	up	SIAH2
5498	2.41939e-45	-18.3183	209	1	l-ERY	up	PPOX
1032	2.56235e-45	-18.3102	209	1	l-ERY	up	CDKN2D
55907	2.66094e-45	-18.3048	209	1	l-ERY	up	CMAS
51312	3.00101e-45	-18.2878	209	1	l-ERY	up	SLC25A37
65125	3.21955e-45	-18.2778	209	1	l-ERY	up	WNK1
4635	3.26025e-45	-18.276	209	1	l-ERY	up	MYL4
200205	4.09378e-45	-18.2437	209	1	l-ERY	up	IBA57
23038	6.4485e-45	-18.1794	209	1	l-ERY	up	WDTC1
